0	8/31/19	AugustTransactions	JE-100
1	50000	0	1000
2	0	50000	2000
3	0	25000	6010
4	0	10000	6050
5	0	2000	6020
6	37000	0	4000
0	9/30/19	SeptTransactions	JE-101
1	10000	0	1010
3	0	10000	2000
2	0	5000	6000
3	0	15000	6010
4	20000	0	4000
5	45000	0	1000
6	0	2000	6005
7	0	5000	6050
8	0	3000	6060
9	10000	0	4000
10	0	45000	2000
0	9/15/19	Invalid-NotBalanced	JE-102
1	10000	0	1000
2	0	15000	6000
0	8/15/19	InvalidAccount		JE-103
1	5000	0	2000
2	0	5000	6200
0	10/15/19	OctTransactions	JE-104
1	30000	0	1010
2	0	4000	1030
3	0	15000	6050
4	15000	0	1020
5	0	26000	6010
0	10/1/19	InvalidAmount		JE-105
1	-100	0	1000
2	0	-100	6000
0	11/29/19	NovTransactions	JE-106
1	0	4000	1000
2	8000	0	1010
3	0	5000	1040
4	12000	0	6060
5	0	11000	1030
0	10/1/19	InvalidAmount		JE-107
1	150	150	1000
2	0	2000	6000
0	12/31/19 	DecTransactions	JE-108
1	100	0	1000
2	100	0	1010
3	100	0	1020
4	100	0	1030
5	100	0	1040
6	0	100	6000
7	0	100	6005
8	0	100	6010
9	0	100	6020
10	0	50	6050
11	0	50	6060
12	300	0	1000
13	300	0	1010
14	300	0	1020
15	300	0	1030
16	300	0	1040
17	0	300	6000
18	0	300	6005
19	0	300	6010
20	0	300	6020
21	0	50	6050
22	0	50	6060
23	0	2000	2000
24	1800	0	4000

