Clock frequency is approx. 2208.4 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	6369.5	5519.7	4814.9	4188.7	3395.3	2835.2	2339.0	1955.3	1770.3	1651.8	1521.4	1399.9	1420.2	1351.9	1278.4	1291.5	1316.5	1095.7	1074.8	1071.4	1235.6	1106.6	1099.5	1141.4	1108.7	1140.8	1257.2	1318.9	1174.0	1161.6	1243.2	1043.3	1445.4	1319.0	1354.4	1519.6	1434.2	1436.6	1471.0	1430.8	1523.9	1509.2	1465.1	1455.9	1445.1	1452.2	1538.0	1131.7	1360.9	1685.2	1766.2	1635.7	1599.3	1619.6	1693.4	1887.2	1636.9	1702.9	1684.6	1733.1	1806.5	1893.4	1779.2	960.5	
16m	6530.2	5664.5	4953.9	4510.9	3824.2	3366.0	2883.1	2204.9	2110.0	1972.4	1818.7	1820.4	1827.8	1668.9	1788.5	1737.8	1886.4	1908.4	1724.3	1906.4	2039.7	1978.2	2073.4	2097.7	2160.5	2298.7	2352.4	2651.2	2403.9	2454.0	2065.1	1511.5	2195.9	2741.1	2835.2	2751.6	2845.1	3396.6	3276.2	3269.2	3260.1	3691.5	3428.6	3543.1	3673.8	3603.7	2964.3	2769.6	2721.0	3512.4	3249.6	3762.8	3114.0	3499.2	3210.2	3046.4	3578.6	3440.2	3432.7	3295.4	3592.5	3244.2	3392.4	1606.8	
8m	6772.1	6282.6	6185.8	5663.4	4693.9	4328.4	4247.3	3377.1	3516.8	3545.5	3271.5	3254.8	3298.6	3532.0	3655.9	2813.3	3829.7	3808.9	4108.9	4027.1	4020.1	3991.5	4031.3	4048.3	3978.9	4110.3	3953.7	4064.2	4225.1	4079.0	4063.3	2882.7	4159.3	4245.4	4145.1	4145.4	4077.4	4065.0	3951.3	4039.5	3934.0	3822.9	3784.7	4264.7	3979.5	3759.5	3501.5	3680.8	3948.6	3956.0	4143.8	4027.2	4233.1	3876.7	4070.5	3538.2	3644.2	3490.6	3634.0	3643.7	3976.9	3588.2	3669.3	2858.2	
4m	7711.5	7733.8	7653.6	7686.5	7602.6	7584.6	7504.4	7567.5	7332.0	7437.7	7345.3	7214.2	7064.4	6683.6	6701.6	5822.0	6613.8	6485.1	6403.1	6861.4	5993.5	4582.5	6080.8	6059.3	6056.4	6062.4	6095.3	6073.4	6065.1	6084.2	6122.3	4184.1	6136.7	6080.1	6070.9	6077.3	6071.7	6064.3	6047.2	6056.7	6059.2	4388.4	6038.7	6084.4	6092.1	6034.3	4239.4	4233.6	4284.8	6082.0	6047.3	6081.2	6098.5	6075.9	6107.3	4316.0	6072.3	4262.6	4256.9	6073.7	5336.3	5244.7	5251.4	4420.1	
2m	7783.5	7782.7	7782.2	7781.3	7780.8	7767.2	7755.7	7714.1	7621.3	7418.1	7157.1	6869.0	6532.4	6462.0	6310.6	5803.7	6020.2	5909.3	5780.1	6581.7	5615.5	5552.9	5503.9	6579.5	6588.1	5386.8	6644.5	5385.1	6616.3	5296.1	6658.4	4666.4	6700.4	6622.8	6732.1	6704.1	5365.3	5349.8	5334.4	6782.1	5325.4	6912.7	6944.3	6932.2	7013.8	7145.7	5313.3	4636.6	5261.6	7300.5	5426.1	5440.7	5472.4	7409.1	5603.4	5670.1	7583.8	5688.2	7656.8	5644.2	5740.5	5744.4	5759.5	4664.6	
1024k	7783.2	7781.3	7782.6	7779.0	7776.4	7761.0	7760.5	7686.7	7576.2	7423.1	7160.6	6872.4	6692.6	6478.0	6299.7	5790.7	6042.3	5928.1	5822.7	5768.5	5720.1	5677.4	7083.4	5552.3	7299.4	5528.5	7410.3	5522.4	5643.2	5693.3	5645.5	4747.8	5728.4	7628.6	5853.0	7665.1	7718.9	7710.0	6328.7	6300.9	6267.3	7743.8	6499.3	6484.7	6696.9	7752.0	6654.6	4951.1	6843.1	6935.2	6968.3	6923.4	7125.2	7102.3	7146.0	7179.0	7267.7	7409.9	7284.4	7257.4	7520.0	7446.0	7369.2	4710.1	
512k	7781.9	7779.9	7778.8	7773.8	7778.2	7765.0	7750.4	7716.6	7668.7	7503.9	7265.3	7054.2	6889.3	6726.1	6592.9	6093.5	6376.0	6404.4	6416.1	6401.2	6560.7	6324.1	6505.8	7746.2	7752.5	7741.9	6892.3	7087.9	7217.0	7254.7	7434.2	5243.9	7525.9	7550.8	7518.3	7539.1	7587.7	7651.9	7699.2	7694.3	7711.5	7700.6	7715.0	7600.7	7703.1	7716.0	7703.3	7514.2	7691.5	7703.1	7701.1	7731.1	7703.1	7696.3	7722.3	7703.2	7677.0	7719.3	7695.8	7682.1	7690.2	7697.7	7702.7	5271.4	
256k	7780.1	7787.2	7785.7	7785.5	7780.2	7783.7	7762.7	7756.3	7744.5	7737.5	7663.0	7667.4	7685.7	7570.7	7615.4	7345.4	7507.6	7400.3	7471.8	7429.7	7410.8	7509.6	7402.8	7509.5	7637.1	7568.2	7652.3	7657.6	7636.6	7694.3	7691.4	6937.0	7727.6	7669.9	7642.8	7671.6	7706.7	7678.4	7674.8	7649.0	7639.9	7674.2	7658.0	7684.4	7639.1	7654.3	7650.0	7701.4	7680.7	7636.3	7649.2	7635.7	7627.8	7678.9	7671.6	7623.7	7648.1	7653.4	7641.8	7621.4	7616.1	7653.5	7582.0	7306.8	
128k	7773.4	7788.0	7777.5	7766.3	7768.7	7778.7	7749.4	7761.3	7734.9	7756.2	7734.8	7726.0	7747.2	7726.3	7700.5	7718.3	7732.6	7708.4	7686.1	7673.4	7700.0	7711.4	7682.4	7672.0	7676.8	7677.8	7668.0	7657.6	7641.6	7609.4	7653.5	7640.0	7652.5	7656.1	7627.7	7641.4	7624.1	7647.5	7618.5	7615.7	7589.5	7622.1	7614.6	7612.0	7601.7	7617.3	7620.2	7555.2	7571.0	7596.2	7567.6	7582.1	7585.4	7591.9	7605.1	7577.4	7577.9	7558.9	7569.4	7512.8	7553.7	7530.1	7530.4	7513.1	
64k	7779.7	7778.0	7773.7	7748.0	7747.9	7745.9	7703.2	7718.3	7715.8	7706.0	7693.4	7662.2	7656.7	7657.6	7657.7	7653.0	7656.1	7612.4	7616.9	7615.7	7622.1	7629.6	7598.9	7612.4	7596.2	7561.5	7549.2	7577.4	7558.9	7536.3	7505.9	7390.4	7558.2	7545.5	7544.2	7555.2	7550.5	7494.8	7480.2	7505.1	7508.7	7393.1	7446.2	7406.3	7443.3	7417.0	7436.2	7461.7	7418.8	7418.1	7468.0	7440.2	7458.0	7441.2	7430.1	7382.5	7376.5	7333.3	7383.7	7352.5	7320.6	7340.7	7314.6	7295.0	
